Inventory Size Key,Item Description,Size Description,Size Description 2,Size Description 3,Unit Cost
18768,Phoenix Products,UNIVERSAL RING RETRACTOR STANDARD BLADE CLAMP,TSI-105-9101214,Ratchet Mechanism,212.35
18739,Phoenix Products,UNIVERSAL RING RETRACTOR TILTING BLADE CLAMP,TSI-105-910135,Ratchet Mechanism,340.00
21757,Phoenix Products,"VAN BUREN (GUYON) CATHETER GUIDE 4FR STRAIGHT 15 3/4""",TSI-106-121065,,18.42
22677,Phoenix Products,"VAN BUREN (GUYON) CATHETER GUIDE 6FR CURVED 14 1/2""",TSI-106-121085,,18.42
21772,Phoenix Products,"VAN BUREN URETHRAL SOUND 8 FRENCH CURVED 10 3/4""",TSI-106-118513,,24.04
21783,Phoenix Products,"VERRES NEEDLE 7"" 2MM",TSI-145-1051012,,86.00
21788,Phoenix Products,VIENNA NASAL SPECULUM LARGE,TSI-1214-11111212,,78.59
21789,Phoenix Products,VIENNA NASAL SPECULUM MEDIUM,TSI-1214-11111211,,72.00
21795,Phoenix Products,"VOLKMAN RETRACTOR 4 PRONG BLUNT 8 3/4""",TSI-77-81059,,14.61
21807,Phoenix Products,"VORSE TUBING CLAMP 7 1/4""",TSI-612-127139,,18.20
22647,Phoenix Products,"WALKER IRIS SCISSOR, CURVED TO SIDE, 4 1/2""",TSI-657-76135,,16.21
21825,Phoenix Products,"WAUGH TISSUE FORCEP 1 X 2 TEETH, 6"" POINTED END",TSI-511-98610,,6.47
19478,Phoenix Products,"WEBSTER (DERF) NEEDLE HOLDER, TC",TSI-87-955,4 3/4 in (121 mm),70.00
21828,Phoenix Products,"WEBSTER NEEDLE HOLD LARGE RING HDL 4 3/4""",TSI-87-9510,,51.44
21829,Phoenix Products,"WEBSTER NEEDLE HOLDER SMOOTH JAWS, 4 3/4""",TSI-65-6567,,14.07
22517,Phoenix Products,"WEBSTER NEEDLE HOLDER, SMOOTH JAWS, DELICATE 5""",TSI-65-6569,,15.14
22242,Phoenix Products,WEISMAN-GRAVES VAGINAL SPECULUM,TSI-6107-512145,"XL (Clinton), Right Opening, 15 cm x 4 cm Blade",35.80
22239,Phoenix Products,WEISMAN-GRAVES VAGINAL SPECULUM,TSI-6107-512014,"Small, Right Opening, 7.5 cm x 1.9 cm Blade",20.95
22240,Phoenix Products,WEISMAN-GRAVES VAGINAL SPECULUM,TSI-6107-512115,"Medium, Right Opening, 10 cm x 4 cm Blade",26.00
22241,Phoenix Products,WEISMAN-PEDERSON VAGINAL SPECULUM,TSI-6107-511125,"Large, Right Opening, 11.5 cm x 2.5 cm Blade",24.20
21020,Phoenix Products,WEISMAN-PEDERSON VAGINAL SPECULUM,TSI-107-510513,Right Opening,84.21
21843,Phoenix Products,WEITLANER RETRACTOR,TSI-105-1011911,2x3; Sharp Prongs; 4 1/4 in (108 mm),37.55
21842,Phoenix Products,WEITLANER RETRACTOR 2 X 3 BLUNT PRONGS,TSI-105-1011912,,76.02
21847,Phoenix Products,"WEITLANER RETRACTOR 3X4 BLUNT 9""",TSI-79-77710,,57.33
21853,Phoenix Products,WEITLANER RETRACTOR BLUNT,TSI-105-661412,,46.50
21857,Phoenix Products,WEITLANER RETRACTOR SHARP,TSI-105-661411,,98.83
21861,Phoenix Products,"WEITLANER RETRACTOR SHARP 2X3 4 1/2""",TSI-79-7765,,29.51
21865,Phoenix Products,"WEITLANER-BECKMANN RETRACTOR 3X4 BLUNT 9.5""",TSI-79-8579,,95.73
21866,Phoenix Products,"WEITLANER-BECKMANN RETRACTOR 3X4 SHARP 5.5""",TSI-79-8568,,78.64
21874,Phoenix Products,"WESTCOTT TENOTOMY SCISSOR RIGHT HANDED 4 1/2""",TSI-115-6121412,,259.00
21883,Phoenix Products,"WILLAUER-ALLIS THORACIC TISSUE FORCEPS, 8MM TIP, 10""",TSI-85-1351310,,27.00
21894,Phoenix Products,"WILLIAMS SPLINTER FORCEPS, 5 1/2""",TSI-85-911513,,21.55
21898,Phoenix Products,WIRE CUTTER,TSI-1011-71065,,231.52
21639,Phoenix Products,WIRE CUTTING SCISSOR,TSI-109-9665,"Angled To One Side, 1 Serrated Blade; 4 3/4 in (121 mm)",12.45
21912,Phoenix Products,"WOODSON ELEVATOR DOUBLE ENDED 7 1/8""",TSI-1012-810610,,31.38
21914,Phoenix Products,WOODSON SEPARATOR-PACKER,TSI-1110-66810,"4.0 mm, 7 1/2""",37.65
21922,Phoenix Products,"YANKAUER SUCTION TUBE 10 1/4""",TSI-514-131055,"Standard Patter, Removeable Tip; 10 1/4 in (260 mm)",22.60
21937,Phoenix Products,ZAUFAL-JANSEN BONE RONGEUR 4MM BITE CURVED 180MM SHAFT,TSI-108-651410,,160.00
