Inventory Size Key,Item Description,Size Description,Size Description 2,Size Description 3,Unit Cost
19262,Phoenix Products,"CRILEWOOD NEEDLE HOLDER, SERRATED",TSI-65-75610,6 in,20.40
19289,Phoenix Products,"CUSHING BAYONET FORCEP SERRATED 7 3/4""",TSI-512-711614,,38.09
19292,Phoenix Products,"CUSHING DRESSING FORCEPS, SERRATED, 1.8MM TIP, 7 3/4""",TSI-85-66109,,17.27
19295,Phoenix Products,CUSHING GANGLION HOOK,TSI-813-6585,,26.70
19303,Phoenix Products,CUSHING INTERVERTEBRAL DISC RONGEUR STRAIGHT CUP SIZE 2MM X 10MM,TSI-108-6785,,219.00
19319,Phoenix Products,"CUSHING TISSUE FORCEPS SERRATED HANDLE, 1.5MM TIP, 7""",TSI-85-6695,,23.06
22124,Phoenix Products,CUSHING VEIN RETRACTOR,TSI-75-612106,Fenstrated Handle; 12 i n (305 mm),31.05
19339,Phoenix Products,"DAVIS BRAIN SPATULA, DOUBLE-ENDED, MALLEABLE, 10MM WIDTH, 7""",TSI-1014-65136,,12.10
22079,Phoenix Products,DAVIS MOUTH GAG,TSI-910-106711,Frame Only; Pediatric; Right; w/o blades,201.00
19349,Phoenix Products,"DAY 1R HOOK,SMALL, 2MM TIP, 6""",TSI-117-611106,,23.35
19353,Phoenix Products,"DBKY VASC FCP 2MM 6""",TSI-1010-75512,,18.31
21702,Phoenix Products,"DBKY VASC FCP 2MM 9 1/2"" NC",TSI-1010-75514,,140.60
22150,Phoenix Products,DEAVER RETRACTOR,TSI-78-1210510,"Flat Handle, Flexible, Curved End, 1 in wide x 13 in long",23.30
19361,Phoenix Products,"DEAVER RETRACTOR GRIP HANDLE 1"" X 12""",TSI-78-12766,,31.16
19363,Phoenix Products,DEAVER RETRACTOR NO 1 25MM WIDE X 305MM LONG,TSI-105-9858,,8.98
19366,Phoenix Products,DEAVER RETRACTOR NO 4 50MM WIDE X 305MM LONG,TSI-105-98512,,9.03
22421,Phoenix Products,DEAVER RETRACTOR NO 5 76MM WIDE X 305MM LONG,TSI-105-98513,,9.03
19378,Phoenix Products,DEBAKEY AORTIC ANEURYSM CLAMP JAW 130MM,TSI-812-6698,,120.60
19383,Phoenix Products,DEBAKEY BULLDOG CLAMP,TSI-812-6599,Cross Action; Curved; 2 cm Jaw; 3 in (75 mm),188.48
22089,Phoenix Products,DEBAKEY BULLDOG CLAMP,TSI-61010-95512,Cross Action; Curved; 2 cm Jaw; 3 in (75 mm),498.00
19388,Phoenix Products,DEBAKEY BULLDOG CLAMP CROSS ACTION STRAIGHT JAWS 30MM,TSI-812-6596,,71.57
19393,Phoenix Products,DEBAKEY BULLDOG CLAMP RING HANDLE ANGLED 90 STRAIGHT SHAFT 43MM JAW,TSI-812-65128,,140.22
19400,Phoenix Products,"DEBAKEY DIETRICH VASCULAR TISSUE FORCEPS, 1MM, 6''",TSI-1010-7559,,16.64
19403,Phoenix Products,"DEBAKEY DIETRICH VASCULAR TISSUE FORCEPS, 3MM, 9 1/2''",TSI-1010-7575,,43.93
19407,Phoenix Products,DEBAKEY MULTI-PURPOSE CLAMP 60 ANGLE JAW 100MM,TSI-812-66128,,181.03
19410,Phoenix Products,DEBAKEY MULTI-PURPOSE CLAMP 60º ANGLE JAW 100MM,TSI-812-66128,,181.03
19412,Phoenix Products,DEBAKEY MULTI-PURPOSE CLAMP JAW 30MM LONG 30 ANGLE,TSI-812-6875,,123.54
19429,Phoenix Products,DEBAKEY THORACIC TISSUE FORCEPS,TSI-812-6557,,32.99
19430,Phoenix Products,DEBAKEY THORACIC TISSUE FORCEPS,TSI-812-6558,"3 MM tips, 12""",53.34
22530,Phoenix Products,"DEBAKEY VASCULAR FORCEPS 2.7MM, 7 3/4"" NC",TSI-6511-109614,,91.01
19440,Phoenix Products,Debakey Vascular tissue Forcep,TSI-812-6566,"3 mm tip, 7 3/4 in (197mm)",45.00
19354,Phoenix Products,DEBAKEY VASCULAR TISSUE FORCEP,TSI-1010-75613,3 mm tip; 6 in (150mm),36.35
19355,Phoenix Products,Debakey Vascular Tissue Forcep,TSI-1010-75614,"3 mm tip, 7 3/4 in (197 mm)",44.50
19443,Phoenix Products,"DEBAKEY VASCULAR TISSUE FORCEP 2MM 7 3/4""",TSI-1010-75513,"2MM, 7 3/4 in (197 mm)",28.10
19439,Phoenix Products,DEBAKEY VASCULAR TISSUE FORCEPS,TSI-812-6565,,39.97
19441,Phoenix Products,DEBAKEY VASCULAR TISSUE FORCEPS,TSI-812-6567,,91.01
22554,Phoenix Products,"DEBAKEY VASCULAR TISSUE FORCEPS, TITANIUM",TSI-1010-75512T,"2mm tips, 6"" Titanium",516.52
19446,Phoenix Products,"DEBAKEY-DIETHRICH CORONARY FORCEPS, 7 3/4""",TSI-85-13687,,50.40
19449,Phoenix Products,"DEBAKEY-LIDDICOAT FORCEPS STRAIGHT FINE TIP 1 X 2 TEETH, 1.8MM TIP, 7 3/4""",TSI-85-13957,,351.00
19450,Phoenix Products,"DEBAKEY-LIDDICOAT FORCEPS STRAIGHT FINE TIP 1 X 2 TEETH, 1.8MM TIP, 9 1/2""",TSI-85-13959,,190.55
22461,Phoenix Products,"DELICATE METZENBAUM DISSECTING SCISSOR CURVED 10 1/4""",TSI-59-810711,,58.73
19465,Phoenix Products,"DELICATE METZENBAUM DISSECTING SCISSOR CURVED 5 3/4""",TSI-59-81069,,8.42
18928,Phoenix Products,"DELICATE RIGHT ANGLE CLAMP, 5 1/2""",TSI-85-99148,,44.67
19489,Phoenix Products,"DESMARRES LID RET SIZE 0, 11MM WIDE",TSI-115-6959,,33.87
19498,Phoenix Products,DIETHRICH BULLDOG CLAMP,TSI-614-135147,Straight; Serrated Jaw w/ 50 gram closing pressure; 8 mm Jaw,180.87
22090,Phoenix Products,DIETHRICH BULLDOG CLAMP,TSI-61010-9597,Straight; Serrated Jaw w/ 50 gram closing pressure; 8 mm Jaw,188.00
19493,Phoenix Products,"DIETHRICH BULLDOG CLAMP ANGLED, 1/2"" JAW, 1 3/4""",TSI-614-135145,,180.87
19494,Phoenix Products,"DIETHRICH BULLDOG CLAMP ANGLED, 1/2"" JAW, 1 7/8""",TSI-614-135146,,180.87
19497,Phoenix Products,"DIETHRICH BULLDOG CLAMP STRAIGHT, 3/4"" JAW, 2 1/16""",TSI-614-135149,,103.26
19505,Phoenix Products,DIETHRICH CORONARY ARTERY SCISSORS 67 ANGLE,TSI-109-135614,,53.55
19506,Phoenix Products,DIETHRICH CORONARY ARTERY SCISSORS 67º ANGLE,TSI-109-135614,,53.55
19512,Phoenix Products,"DIETRICH ART SCR 120DG 7""",TSI-1010-65510,,108.97
19522,Phoenix Products,DORSEY DURAL SEPARATOR,TSI-1110-6659,,37.40
19530,Phoenix Products,DOYEN TUMOR SCREW,TSI-107-10556,,74.87
19536,Phoenix Products,DRESSING FORCEP,TSI-511-5569,Standard pattern; Serrated handle and tip; 5 1/2 in (140mm),5.59
19538,Phoenix Products,"DRESSING FORCEP 6"" FINE SERRATED HANDLE",TSI-511-55610,,6.50
19540,Phoenix Products,"DRESSING FORCEP 8"" FINE SERRATED HANDLE",TSI-511-5575,,7.85
19545,Phoenix Products,"DRESSING FORCEPS SERRATED, 3MM TIP, 10""",TSI-85-96813,,16.40
22610,Phoenix Products,EASTMAN VAG RETR #3,TSI-107-7888,,32.23
19563,Phoenix Products,EDNA TOWEL CLAMP,TSI-87-105610,5 1/4 in (133 mm),6.35
19565,Phoenix Products,"EMESIS BASIN 12 OZ, 8 1/8"" X 3 5/8"" X 1 5/8""",TSI-1410-14567,,17.17
19581,Phoenix Products,EYE DRESSING FORCEPS CURVED,TSI-85-111079,,20.08
22429,Phoenix Products,"Fechtner Conjunctiva Forceps, flat 3 hole fenestrated handle",TSI-K510-61375,,368.52
19600,Phoenix Products,"FEILCHIN SPLINTER FORCEP 4 1/2""",TSI-512-13766,,7.42
22612,Phoenix Products,"FERGUSON-FRAZIER SUCTION TUBE, STRONG ANGLE",TSI-116-65714,"11 Fr, 3 3/4 in",19.85
19610,Phoenix Products,"FERRIS-SMITH TISSUE FORCEP 3.9MM TIP, 6 3/4""",TSI-85-6687,"2x3 Teeth, 3.9 mm Tip; 6 3/4 in",16.45
19612,Phoenix Products,FINE SCISSORS CURVED SHARP/SHARP 114MM,TSI-109-651211,,10.85
19618,Phoenix Products,"FINOCHIETTO NEEDLE HOLDER 10 3/4""",TSI-87-7137,,99.01
19634,Phoenix Products,FOERSTER SPONGE FORCEP,TSI-614-10579,"Straight, Serrated 9 1/2 in",13.85
19632,Phoenix Products,"FOERSTER SPONGE FORCEP STRAIGHT SERRATED 12""",TSI-614-105714,,51.15
19633,Phoenix Products,"FOERSTER SPONGE FORCEP STRAIGHT SERRATED 7""",TSI-614-105613,,15.30
19635,Phoenix Products,"FOERSTER SPONGE FORCEP STRAIGHT SMOOTH 9 1/2""",TSI-614-10779,,22.40
19639,Phoenix Products,FOMON RASP,TSI-118-51067,"Double-Ended, Coarse Teeth Flat & Convex Ends; 8 1/4 in (210 mm)",139.75
22431,Phoenix Products,"Forceps, Utrata Capsulorhexis, 4 1/4 in",TSI-115-69147,,516.52
